Species,Depth,season,unique,growth_month
mussel,deep,winter,musseldeepwinter,3.323529412
mussel,shallow,winter,musselshallowwinter,3.235294118
mussel,shallow,winter,musselshallowwinter,3.147058824
mussel,shallow,spring,musselshallowspring,3.138248848
scallop,shallow,spring,scallopshallowspring,3.013824885
scallop,shallow,spring,scallopshallowspring,2.930875576
scallop,shallow,winter,scallopshallowwinter,2.823529412
scallop,shallow,winter,scallopshallowwinter,2.794117647
scallop,shallow,spring,scallopshallowspring,2.778801843
mussel,shallow,spring,musselshallowspring,2.695852535
mussel,shallow,spring,musselshallowspring,2.557603687
mussel,shallow,spring,musselshallowspring,2.529953917
mussel,shallow,winter,musselshallowwinter,2.529411765
mussel,shallow,spring,musselshallowspring,2.516129032
scallop,shallow,spring,scallopshallowspring,2.502304147
scallop,shallow,spring,scallopshallowspring,2.447004608
mussel,shallow,winter,musselshallowwinter,2.441176471
scallop,shallow,winter,scallopshallowwinter,2.411764706
scallop,shallow,spring,scallopshallowspring,2.391705069
scallop,shallow,winter,scallopshallowwinter,2.382352941
mussel,shallow,winter,musselshallowwinter,2.352941176
mussel,shallow,spring,musselshallowspring,2.350230415
scallop,shallow,winter,scallopshallowwinter,2.323529412
scallop,shallow,spring,scallopshallowspring,2.322580645
mussel,shallow,spring,musselshallowspring,2.294930876
mussel,shallow,winter,musselshallowwinter,2.294117647
mussel,shallow,spring,musselshallowspring,2.281105991
mussel,shallow,winter,musselshallowwinter,2.264705882
scallop,shallow,spring,scallopshallowspring,2.239631336
scallop,shallow,winter,scallopshallowwinter,2.205882353
mussel,shallow,spring,musselshallowspring,2.184331797
scallop,shallow,winter,scallopshallowwinter,2.176470588
mussel,shallow,spring,musselshallowspring,2.170506912
mussel,shallow,spring,musselshallowspring,2.170506912
scallop,shallow,spring,scallopshallowspring,2.156682028
scallop,shallow,winter,scallopshallowwinter,2.147058824
mussel,shallow,spring,musselshallowspring,2.129032258
mussel,shallow,winter,musselshallowwinter,2.117647059
scallop,shallow,spring,scallopshallowspring,2.115207373
mussel,shallow,spring,musselshallowspring,2.101382488
scallop,shallow,spring,scallopshallowspring,2.087557604
scallop,shallow,spring,scallopshallowspring,2.073732719
scallop,shallow,winter,scallopshallowwinter,2.058823529
scallop,shallow,winter,scallopshallowwinter,2.029411765
mussel,shallow,spring,musselshallowspring,2.004608295
mussel,shallow,spring,musselshallowspring,2.004608295
scallop,shallow,winter,scallopshallowwinter,2
mussel,shallow,winter,musselshallowwinter,2
mussel,shallow,spring,musselshallowspring,1.99078341
mussel,shallow,spring,musselshallowspring,1.99078341
mussel,shallow,spring,musselshallowspring,1.976958525
mussel,shallow,winter,musselshallowwinter,1.970588235
mussel,shallow,winter,musselshallowwinter,1.970588235
mussel,shallow,winter,musselshallowwinter,1.970588235
mussel,shallow,spring,musselshallowspring,1.963133641
scallop,shallow,spring,scallopshallowspring,1.949308756
mussel,shallow,spring,musselshallowspring,1.949308756
scallop,shallow,winter,scallopshallowwinter,1.941176471
scallop,shallow,winter,scallopshallowwinter,1.941176471
scallop,shallow,winter,scallopshallowwinter,1.941176471
mussel,shallow,winter,musselshallowwinter,1.941176471
mussel,shallow,spring,musselshallowspring,1.935483871
mussel,shallow,spring,musselshallowspring,1.921658986
scallop,shallow,winter,scallopshallowwinter,1.911764706
mussel,shallow,winter,musselshallowwinter,1.911764706
scallop,shallow,spring,scallopshallowspring,1.907834101
mussel,shallow,spring,musselshallowspring,1.894009217
mussel,shallow,winter,musselshallowwinter,1.882352941
mussel,shallow,winter,musselshallowwinter,1.882352941
scallop,shallow,spring,scallopshallowspring,1.880184332
scallop,shallow,spring,scallopshallowspring,1.880184332
mussel,shallow,winter,musselshallowwinter,1.852941176
scallop,shallow,spring,scallopshallowspring,1.852534562
mussel,shallow,spring,musselshallowspring,1.852534562
scallop,shallow,spring,scallopshallowspring,1.838709677
scallop,deep,spring,scallopdeepspring,1.838709677
mussel,shallow,spring,musselshallowspring,1.838709677
mussel,shallow,spring,musselshallowspring,1.838709677
scallop,shallow,winter,scallopshallowwinter,1.823529412
mussel,shallow,winter,musselshallowwinter,1.823529412
mussel,shallow,winter,musselshallowwinter,1.823529412
mussel,shallow,spring,musselshallowspring,1.811059908
scallop,deep,spring,scallopdeepspring,1.797235023
mussel,shallow,spring,musselshallowspring,1.797235023
mussel,shallow,spring,musselshallowspring,1.769585253
mussel,shallow,spring,musselshallowspring,1.769585253
scallop,shallow,spring,scallopshallowspring,1.741935484
mussel,shallow,spring,musselshallowspring,1.714285714
scallop,shallow,winter,scallopshallowwinter,1.705882353
mussel,shallow,spring,musselshallowspring,1.700460829
scallop,shallow,spring,scallopshallowspring,1.686635945
mussel,shallow,spring,musselshallowspring,1.658986175
scallop,shallow,winter,scallopshallowwinter,1.647058824
mussel,shallow,winter,musselshallowwinter,1.647058824
mussel,shallow,spring,musselshallowspring,1.631336406
mussel,shallow,winter,musselshallowwinter,1.617647059
scallop,shallow,spring,scallopshallowspring,1.617511521
scallop,shallow,spring,scallopshallowspring,1.603686636
mussel,shallow,spring,musselshallowspring,1.603686636
scallop,shallow,spring,scallopshallowspring,1.589861751
scallop,shallow,winter,scallopshallowwinter,1.588235294
mussel,shallow,winter,musselshallowwinter,1.588235294
scallop,shallow,winter,scallopshallowwinter,1.558823529
scallop,shallow,winter,scallopshallowwinter,1.558823529
mussel,shallow,winter,musselshallowwinter,1.558823529
mussel,shallow,winter,musselshallowwinter,1.558823529
mussel,shallow,winter,musselshallowwinter,1.558823529
scallop,shallow,winter,scallopshallowwinter,1.529411765
scallop,shallow,winter,scallopshallowwinter,1.529411765
scallop,shallow,winter,scallopshallowwinter,1.529411765
scallop,shallow,winter,scallopshallowwinter,1.529411765
scallop,shallow,winter,scallopshallowwinter,1.529411765
scallop,shallow,winter,scallopshallowwinter,1.529411765
scallop,deep,spring,scallopdeepspring,1.520737327
mussel,shallow,spring,musselshallowspring,1.520737327
scallop,shallow,spring,scallopshallowspring,1.506912442
scallop,shallow,winter,scallopshallowwinter,1.5
mussel,shallow,winter,musselshallowwinter,1.5
mussel,shallow,winter,musselshallowwinter,1.5
scallop,deep,spring,scallopdeepspring,1.479262673
mussel,shallow,spring,musselshallowspring,1.479262673
scallop,shallow,spring,scallopshallowspring,1.451612903
mussel,shallow,spring,musselshallowspring,1.437788018
scallop,shallow,winter,scallopshallowwinter,1.411764706
scallop,shallow,spring,scallopshallowspring,1.396313364
scallop,shallow,spring,scallopshallowspring,1.382488479
scallop,shallow,spring,scallopshallowspring,1.382488479
scallop,shallow,winter,scallopshallowwinter,1.382352941
mussel,shallow,winter,musselshallowwinter,1.382352941
scallop,shallow,winter,scallopshallowwinter,1.352941176
scallop,shallow,spring,scallopshallowspring,1.341013825
scallop,shallow,spring,scallopshallowspring,1.341013825
mussel,shallow,spring,musselshallowspring,1.341013825
scallop,shallow,winter,scallopshallowwinter,1.323529412
mussel,shallow,spring,musselshallowspring,1.313364055
scallop,shallow,winter,scallopshallowwinter,1.294117647
mussel,shallow,winter,musselshallowwinter,1.294117647
mussel,shallow,winter,musselshallowwinter,1.294117647
scallop,shallow,winter,scallopshallowwinter,1.264705882
scallop,shallow,winter,scallopshallowwinter,1.264705882
mussel,shallow,winter,musselshallowwinter,1.264705882
scallop,shallow,spring,scallopshallowspring,1.244239631
mussel,shallow,spring,musselshallowspring,1.244239631
scallop,shallow,winter,scallopshallowwinter,1.235294118
scallop,shallow,winter,scallopshallowwinter,1.235294118
scallop,shallow,winter,scallopshallowwinter,1.235294118
mussel,shallow,spring,musselshallowspring,1.202764977
scallop,shallow,spring,scallopshallowspring,1.188940092
scallop,shallow,spring,scallopshallowspring,1.188940092
scallop,shallow,spring,scallopshallowspring,1.188940092
mussel,shallow,winter,musselshallowwinter,1.176470588
mussel,shallow,winter,musselshallowwinter,1.176470588
mussel,shallow,spring,musselshallowspring,1.175115207
mussel,shallow,spring,musselshallowspring,1.161290323
mussel,shallow,winter,musselshallowwinter,1.147058824
mussel,shallow,winter,musselshallowwinter,1.147058824
scallop,shallow,winter,scallopshallowwinter,1.117647059
scallop,shallow,winter,scallopshallowwinter,1.117647059
mussel,shallow,winter,musselshallowwinter,1.117647059
scallop,shallow,spring,scallopshallowspring,1.092165899
scallop,deep,spring,scallopdeepspring,1.092165899
scallop,shallow,winter,scallopshallowwinter,1.088235294
mussel,shallow,winter,musselshallowwinter,1.088235294
mussel,shallow,winter,musselshallowwinter,1.088235294
mussel,shallow,winter,musselshallowwinter,1.088235294
mussel,shallow,winter,musselshallowwinter,1.058823529
scallop,deep,spring,scallopdeepspring,1.050691244
mussel,shallow,spring,musselshallowspring,1.050691244
mussel,shallow,spring,musselshallowspring,1.050691244
mussel,shallow,spring,musselshallowspring,1.050691244
mussel,shallow,winter,musselshallowwinter,1.029411765
mussel,deep,spring,musseldeepspring,1.023041475
scallop,deep,spring,scallopdeepspring,1.00921659
mussel,shallow,spring,musselshallowspring,0.995391705
mussel,shallow,spring,musselshallowspring,0.98156682
mussel,shallow,winter,musselshallowwinter,0.970588235
mussel,shallow,winter,musselshallowwinter,0.970588235
scallop,shallow,spring,scallopshallowspring,0.967741935
mussel,shallow,spring,musselshallowspring,0.953917051
scallop,shallow,winter,scallopshallowwinter,0.941176471
scallop,shallow,winter,scallopshallowwinter,0.941176471
scallop,shallow,winter,scallopshallowwinter,0.941176471
mussel,shallow,winter,musselshallowwinter,0.941176471
mussel,shallow,winter,musselshallowwinter,0.941176471
mussel,shallow,winter,musselshallowwinter,0.941176471
scallop,shallow,spring,scallopshallowspring,0.940092166
mussel,deep,spring,musseldeepspring,0.912442396
scallop,shallow,winter,scallopshallowwinter,0.911764706
mussel,shallow,winter,musselshallowwinter,0.911764706
mussel,shallow,winter,musselshallowwinter,0.882352941
mussel,shallow,winter,musselshallowwinter,0.882352941
scallop,shallow,winter,scallopshallowwinter,0.852941176
mussel,shallow,winter,musselshallowwinter,0.852941176
mussel,deep,spring,musseldeepspring,0.829493088
scallop,deep,winter,scallopdeepwinter,0.823529412
scallop,shallow,winter,scallopshallowwinter,0.823529412
mussel,deep,spring,musseldeepspring,0.815668203
scallop,deep,spring,scallopdeepspring,0.801843318
scallop,shallow,winter,scallopshallowwinter,0.794117647
mussel,deep,spring,musseldeepspring,0.788018433
scallop,deep,winter,scallopdeepwinter,0.764705882
scallop,deep,winter,scallopdeepwinter,0.764705882
scallop,shallow,winter,scallopshallowwinter,0.764705882
mussel,deep,winter,musseldeepwinter,0.735294118
mussel,deep,winter,musseldeepwinter,0.735294118
scallop,shallow,winter,scallopshallowwinter,0.705882353
scallop,deep,spring,scallopdeepspring,0.705069124
scallop,shallow,spring,scallopshallowspring,0.69124424
scallop,deep,spring,scallopdeepspring,0.69124424
scallop,deep,winter,scallopdeepwinter,0.676470588
mussel,shallow,winter,musselshallowwinter,0.676470588
mussel,deep,winter,musseldeepwinter,0.676470588
scallop,deep,spring,scallopdeepspring,0.649769585
mussel,deep,winter,musseldeepwinter,0.647058824
mussel,shallow,winter,musselshallowwinter,0.617647059
mussel,deep,spring,musseldeepspring,0.608294931
scallop,deep,spring,scallopdeepspring,0.594470046
scallop,shallow,winter,scallopshallowwinter,0.588235294
scallop,shallow,winter,scallopshallowwinter,0.588235294
mussel,shallow,winter,musselshallowwinter,0.588235294
mussel,deep,winter,musseldeepwinter,0.588235294
scallop,deep,spring,scallopdeepspring,0.566820276
mussel,shallow,spring,musselshallowspring,0.566820276
scallop,deep,winter,scallopdeepwinter,0.558823529
mussel,deep,winter,musseldeepwinter,0.558823529
mussel,deep,winter,musseldeepwinter,0.558823529
mussel,deep,winter,musseldeepwinter,0.558823529
mussel,deep,winter,musseldeepwinter,0.558823529
mussel,deep,spring,musseldeepspring,0.552995392
mussel,shallow,spring,musselshallowspring,0.552995392
scallop,deep,winter,scallopdeepwinter,0.529411765
scallop,deep,winter,scallopdeepwinter,0.529411765
scallop,deep,winter,scallopdeepwinter,0.529411765
scallop,shallow,winter,scallopshallowwinter,0.529411765
mussel,shallow,winter,musselshallowwinter,0.529411765
mussel,deep,winter,musseldeepwinter,0.529411765
mussel,deep,winter,musseldeepwinter,0.529411765
mussel,shallow,spring,musselshallowspring,0.511520737
mussel,shallow,winter,musselshallowwinter,0.5
mussel,deep,winter,musseldeepwinter,0.5
mussel,deep,winter,musseldeepwinter,0.5
mussel,deep,spring,musseldeepspring,0.497695853
scallop,shallow,spring,scallopshallowspring,0.483870968
scallop,deep,winter,scallopdeepwinter,0.470588235
scallop,shallow,winter,scallopshallowwinter,0.470588235
mussel,shallow,winter,musselshallowwinter,0.470588235
mussel,shallow,winter,musselshallowwinter,0.470588235
mussel,deep,winter,musseldeepwinter,0.470588235
mussel,deep,winter,musseldeepwinter,0.470588235
mussel,deep,winter,musseldeepwinter,0.470588235
mussel,deep,winter,musseldeepwinter,0.470588235
mussel,deep,winter,musseldeepwinter,0.470588235
mussel,deep,spring,musseldeepspring,0.456221198
scallop,deep,spring,scallopdeepspring,0.442396313
mussel,deep,spring,musseldeepspring,0.442396313
mussel,deep,spring,musseldeepspring,0.442396313
mussel,deep,spring,musseldeepspring,0.442396313
scallop,deep,winter,scallopdeepwinter,0.441176471
scallop,deep,winter,scallopdeepwinter,0.441176471
mussel,deep,winter,musseldeepwinter,0.441176471
mussel,deep,spring,musseldeepspring,0.428571429
mussel,deep,spring,musseldeepspring,0.414746544
scallop,deep,winter,scallopdeepwinter,0.411764706
scallop,deep,winter,scallopdeepwinter,0.411764706
mussel,deep,spring,musseldeepspring,0.400921659
mussel,deep,spring,musseldeepspring,0.387096774
scallop,deep,winter,scallopdeepwinter,0.382352941
scallop,deep,winter,scallopdeepwinter,0.382352941
scallop,shallow,winter,scallopshallowwinter,0.382352941
scallop,deep,spring,scallopdeepspring,0.373271889
mussel,deep,spring,musseldeepspring,0.373271889
mussel,deep,spring,musseldeepspring,0.373271889
scallop,deep,spring,scallopdeepspring,0.359447005
scallop,deep,winter,scallopdeepwinter,0.352941176
mussel,deep,winter,musseldeepwinter,0.352941176
mussel,deep,winter,musseldeepwinter,0.352941176
mussel,deep,spring,musseldeepspring,0.34562212
scallop,deep,spring,scallopdeepspring,0.331797235
scallop,deep,winter,scallopdeepwinter,0.323529412
scallop,deep,winter,scallopdeepwinter,0.323529412
scallop,deep,winter,scallopdeepwinter,0.323529412
scallop,deep,winter,scallopdeepwinter,0.323529412
scallop,deep,winter,scallopdeepwinter,0.323529412
mussel,deep,winter,musseldeepwinter,0.323529412
mussel,deep,winter,musseldeepwinter,0.323529412
mussel,deep,winter,musseldeepwinter,0.323529412
mussel,deep,winter,musseldeepwinter,0.323529412
scallop,deep,spring,scallopdeepspring,0.31797235
mussel,deep,spring,musseldeepspring,0.31797235
mussel,deep,spring,musseldeepspring,0.31797235
scallop,deep,winter,scallopdeepwinter,0.294117647
scallop,deep,winter,scallopdeepwinter,0.294117647
mussel,deep,winter,musseldeepwinter,0.294117647
mussel,deep,winter,musseldeepwinter,0.294117647
mussel,deep,winter,musseldeepwinter,0.294117647
mussel,deep,winter,musseldeepwinter,0.294117647
mussel,deep,spring,musseldeepspring,0.276497696
mussel,deep,spring,musseldeepspring,0.276497696
mussel,deep,spring,musseldeepspring,0.276497696
scallop,deep,winter,scallopdeepwinter,0.264705882
mussel,deep,winter,musseldeepwinter,0.264705882
mussel,deep,winter,musseldeepwinter,0.264705882
mussel,deep,spring,musseldeepspring,0.262672811
mussel,deep,spring,musseldeepspring,0.248847926
mussel,deep,spring,musseldeepspring,0.248847926
scallop,deep,winter,scallopdeepwinter,0.235294118
scallop,deep,winter,scallopdeepwinter,0.235294118
scallop,deep,winter,scallopdeepwinter,0.235294118
mussel,deep,winter,musseldeepwinter,0.235294118
mussel,deep,winter,musseldeepwinter,0.235294118
mussel,deep,winter,musseldeepwinter,0.235294118
mussel,deep,winter,musseldeepwinter,0.235294118
mussel,deep,winter,musseldeepwinter,0.235294118
scallop,deep,spring,scallopdeepspring,0.235023041
mussel,deep,spring,musseldeepspring,0.235023041
mussel,deep,spring,musseldeepspring,0.235023041
scallop,deep,winter,scallopdeepwinter,0.205882353
scallop,deep,winter,scallopdeepwinter,0.205882353
scallop,deep,winter,scallopdeepwinter,0.205882353
mussel,deep,winter,musseldeepwinter,0.205882353
mussel,deep,winter,musseldeepwinter,0.205882353
mussel,deep,winter,musseldeepwinter,0.205882353
scallop,deep,spring,scallopdeepspring,0.193548387
mussel,deep,spring,musseldeepspring,0.193548387
scallop,deep,spring,scallopdeepspring,0.179723502
mussel,deep,spring,musseldeepspring,0.179723502
mussel,deep,spring,musseldeepspring,0.179723502
scallop,deep,winter,scallopdeepwinter,0.176470588
scallop,deep,winter,scallopdeepwinter,0.176470588
scallop,deep,winter,scallopdeepwinter,0.176470588
mussel,deep,winter,musseldeepwinter,0.176470588
mussel,deep,winter,musseldeepwinter,0.176470588
mussel,deep,winter,musseldeepwinter,0.176470588
mussel,deep,winter,musseldeepwinter,0.176470588
mussel,deep,winter,musseldeepwinter,0.176470588
mussel,deep,spring,musseldeepspring,0.165898618
scallop,deep,spring,scallopdeepspring,0.152073733
scallop,deep,winter,scallopdeepwinter,0.147058824
scallop,deep,winter,scallopdeepwinter,0.147058824
scallop,deep,winter,scallopdeepwinter,0.147058824
scallop,shallow,winter,scallopshallowwinter,0.147058824
mussel,deep,winter,musseldeepwinter,0.147058824
scallop,deep,spring,scallopdeepspring,0.138248848
mussel,deep,spring,musseldeepspring,0.138248848
mussel,deep,spring,musseldeepspring,0.138248848
mussel,deep,spring,musseldeepspring,0.124423963
mussel,deep,spring,musseldeepspring,0.124423963
mussel,deep,spring,musseldeepspring,0.124423963
scallop,deep,winter,scallopdeepwinter,0.117647059
scallop,deep,winter,scallopdeepwinter,0.117647059
scallop,deep,winter,scallopdeepwinter,0.117647059
scallop,deep,winter,scallopdeepwinter,0.117647059
mussel,deep,spring,musseldeepspring,0.096774194
scallop,deep,winter,scallopdeepwinter,0.088235294
scallop,deep,winter,scallopdeepwinter,0.088235294
mussel,deep,winter,musseldeepwinter,0.088235294
mussel,deep,winter,musseldeepwinter,0.088235294
mussel,deep,winter,musseldeepwinter,0.088235294
mussel,deep,winter,musseldeepwinter,0.088235294
mussel,deep,winter,musseldeepwinter,0.088235294
mussel,deep,winter,musseldeepwinter,0.088235294
mussel,deep,winter,musseldeepwinter,0.088235294
scallop,deep,spring,scallopdeepspring,0.082949309
scallop,deep,spring,scallopdeepspring,0.082949309
scallop,deep,spring,scallopdeepspring,0.082949309
scallop,deep,spring,scallopdeepspring,0.082949309
mussel,deep,spring,musseldeepspring,0.082949309
mussel,deep,spring,musseldeepspring,0.082949309
scallop,deep,spring,scallopdeepspring,0.069124424
scallop,deep,winter,scallopdeepwinter,0.058823529
mussel,deep,winter,musseldeepwinter,0.058823529
mussel,deep,winter,musseldeepwinter,0.058823529
scallop,deep,winter,scallopdeepwinter,0.029411765
scallop,deep,winter,scallopdeepwinter,0.029411765
mussel,deep,winter,musseldeepwinter,0.029411765
scallop,deep,spring,scallopdeepspring,0.02764977
mussel,deep,spring,musseldeepspring,0.02764977
scallop,deep,winter,scallopdeepwinter,0
scallop,deep,winter,scallopdeepwinter,0
scallop,deep,winter,scallopdeepwinter,0
scallop,deep,winter,scallopdeepwinter,0
scallop,deep,winter,scallopdeepwinter,0
scallop,deep,winter,scallopdeepwinter,0
scallop,shallow,winter,scallopshallowwinter,0
scallop,deep,spring,scallopdeepspring,0
scallop,deep,spring,scallopdeepspring,0
scallop,deep,spring,scallopdeepspring,0
scallop,deep,spring,scallopdeepspring,0
scallop,deep,spring,scallopdeepspring,0
scallop,deep,spring,scallopdeepspring,0
scallop,deep,spring,scallopdeepspring,0
scallop,deep,spring,scallopdeepspring,0
mussel,deep,winter,musseldeepwinter,0
mussel,deep,winter,musseldeepwinter,0
mussel,deep,winter,musseldeepwinter,0
mussel,deep,winter,musseldeepwinter,0
mussel,deep,winter,musseldeepwinter,0
mussel,deep,winter,musseldeepwinter,0
mussel,deep,spring,musseldeepspring,0
